Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea category),Custom field (Idea category),Custom field (Idea category),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (RICE score),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Reach),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Sprint,Sprint,Custom field (Stage),Custom field (Stage),Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Task 1.2: Create Epics, Tasks & Subtasks",CPB-9,10299,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:07 AM,15/Sep/25 1:47 PM,15/Sep/25 3:25 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@275da83a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000rr:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10289,CPB-1,Epic 1: Project Setup & Jira Management,To Do,15/Sep/25 3:25 AM
"1. Add Epics for each major phase (GitHub, Jenkins, Docker, Kubernetes, Monitoring).",CPB-12,10305,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:09 AM,15/Sep/25 1:55 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1983e047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sf:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146597663_*|*_10097_*:*_2_*:*_1763438,10299,CPB-9,"Task 1.2: Create Epics, Tasks & Subtasks",Done,15/Sep/25 3:32 AM
2. Add Tasks under Epics with subtasks.,CPB-13,10307,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:09 AM,15/Sep/25 1:55 PM,,15/Sep/25 3:32 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1455c447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sn:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_146598788_*|*_10097_*:*_2_*:*_1761577,10299,CPB-9,"Task 1.2: Create Epics, Tasks & Subtasks",Done,15/Sep/25 3:32 AM
Task 2.1: Repository Setup,CPB-14,10309,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 1:47 PM,15/Sep/25 3:23 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b76cd0b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sv:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10290,CPB-2,Epic 2: GitHub Workflow,To Do,15/Sep/25 3:24 AM
1. Clone repo,CPB-16,10313,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 3:33 AM,15/Sep/25 3:37 AM,15/Sep/25 3:33 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d721f23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000sz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_139285206_*|*_10061_*:*_1_*:*_5734122_*|*_10097_*:*_2_*:*_1477830,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:33 AM
2. Create feature branch.,CPB-17,10315,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 3:33 AM,,15/Sep/25 3:33 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f61626a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t1:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_139288844_*|*_10097_*:*_2_*:*_7206800,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:33 AM
3. Push changes & raise PR.,CPB-18,10317,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:41 AM,15/Sep/25 3:44 AM,13/Sep/25 12:41 PM,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e2b42f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t2:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_138362970_*|*_10061_*:*_2_*:*_887639_*|*_10097_*:*_2_*:*_7878233,10309,CPB-14,Task 2.1: Repository Setup,Done,15/Sep/25 3:44 AM
Task 2.2: Code Collaboration,CPB-15,10311,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 10:40 AM,15/Sep/25 1:47 PM,13/Sep/25 11:03 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31538871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000t3:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10290,CPB-2,Epic 2: GitHub Workflow,To Do,13/Sep/25 11:05 AM
1. Peer review PR,CPB-19,10319,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 11:02 AM,15/Sep/25 3:44 AM,,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cf06e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000tz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_146533540,10311,CPB-15,Task 2.2: Code Collaboration,Done,15/Sep/25 3:44 AM
2. Merge into main.,CPB-20,10321,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,13/Sep/25 11:02 AM,15/Sep/25 3:44 AM,,15/Sep/25 3:44 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d7b6438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000u7:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_146522079,10311,CPB-15,Task 2.2: Code Collaboration,Done,15/Sep/25 3:44 AM
