Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Confidence),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Designs ready),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Effort),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea category),Custom field (Idea category),Custom field (Idea category),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Impact score),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (Project target),Custom field (RICE score),Custom field (RICE score),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Reach),Custom field (Reach),Custom field (Request Type),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Roadmap),Custom field (Sentiment),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Custom field (Spec ready),Sprint,Sprint,Custom field (Stage),Custom field (Stage),Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target quarter),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Value),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Task 3.1: Jenkins Pipeline Setup,CPB-21,10323,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:34 AM,15/Sep/25 1:47 PM,15/Sep/25 2:35 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1eb09bfd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000uf:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10291,CPB-3,Epic 3: Jenkins CI/CD,To Do,15/Sep/25 2:34 AM
1. Install Jenkins & plugins.,CPB-23,10327,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:36 AM,15/Sep/25 10:10 AM,,15/Sep/25 10:10 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c9b3bba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000uv:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27280835,10323,CPB-21,Task 3.1: Jenkins Pipeline Setup,Done,15/Sep/25 10:10 AM
2. Write Jenkinsfile.,CPB-24,10329,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:36 AM,15/Sep/25 10:10 AM,,15/Sep/25 10:10 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@24a13653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000v3:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27272942,10323,CPB-21,Task 3.1: Jenkins Pipeline Setup,Done,15/Sep/25 10:10 AM
3. Configure pipeline,CPB-25,10331,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:36 AM,15/Sep/25 10:10 AM,,15/Sep/25 10:10 AM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3acebfc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000vb:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27264374,10323,CPB-21,Task 3.1: Jenkins Pipeline Setup,Done,15/Sep/25 10:10 AM
Task 3.2: CI/CD Stages,CPB-22,10325,Task,To Do,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:34 AM,15/Sep/25 1:47 PM,15/Sep/25 10:08 AM,,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b1bdcdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000un:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,,10291,CPB-3,Epic 3: Jenkins CI/CD,To Do,15/Sep/25 2:34 AM
1. Checkout Code,CPB-26,10333,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:37 AM,15/Sep/25 12:21 PM,,15/Sep/25 12:21 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bc73c59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000vj:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27233936,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:21 PM
2. SonarQube Analysis,CPB-27,10335,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:37 AM,15/Sep/25 12:21 PM,,15/Sep/25 12:21 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e949470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000vr:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27226972,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:21 PM
3. Dependency Install (npm),CPB-28,10337,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:37 AM,15/Sep/25 12:21 PM,,15/Sep/25 12:21 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e4bd44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000vz:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_27213522,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:21 PM
4. Trivy/OWASP (optional),CPB-29,10339,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:37 AM,15/Sep/25 12:22 PM,,15/Sep/25 12:22 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@667c54e7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000w7:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35051390,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:22 PM
5. Docker Build & Push,CPB-30,10341,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:38 AM,15/Sep/25 12:22 PM,,15/Sep/25 12:22 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d7e870d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000wf:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35040757,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:22 PM
6. Deploy Container,CPB-31,10343,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:38 AM,15/Sep/25 1:55 PM,15/Sep/25 12:26 PM,15/Sep/25 12:26 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6477c1d1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000wn:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35025650,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:26 PM
7. Email Notification,CPB-32,10345,Sub-task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:38 AM,15/Sep/25 1:55 PM,,15/Sep/25 12:26 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62ef0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000wv:,,,,,,,,,,,,,,CPB Sprint 1,CPB Sprint 2,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35018016,10325,CPB-22,Task 3.2: CI/CD Stages,Done,15/Sep/25 12:26 PM
Task 4.1: Write Dockerfile,CPB-33,10347,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:39 AM,15/Sep/25 12:27 PM,,15/Sep/25 12:27 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1410795b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000x3:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35269838,10292,CPB-4,Epic 4: Docker Deployment,Done,15/Sep/25 12:27 PM
Task 4.2: Build Image & Push via Jenkins,CPB-34,10349,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:40 AM,15/Sep/25 12:29 PM,,15/Sep/25 12:29 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5027f614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000xb:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35232174,10292,CPB-4,Epic 4: Docker Deployment,Done,15/Sep/25 12:29 PM
Task 4.3: Run Container & Test App,CPB-35,10351,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:41 AM,15/Sep/25 12:29 PM,,15/Sep/25 12:29 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e0487dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000xj:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35282155,10292,CPB-4,Epic 4: Docker Deployment,Done,15/Sep/25 12:29 PM
Task 5.1: Write deployment.yaml & service.yaml,CPB-36,10353,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:41 AM,15/Sep/25 12:31 PM,,15/Sep/25 12:31 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@246da01b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000xr:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35377906,10293,CPB-5,Epic 5: Kubernetes (EKS) Deployment,Done,15/Sep/25 12:31 PM
Task 5.2: Deploy App to EKS,CPB-37,10355,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:42 AM,15/Sep/25 12:33 PM,,15/Sep/25 12:33 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7565de03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000xz:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35372584,10293,CPB-5,Epic 5: Kubernetes (EKS) Deployment,Done,15/Sep/25 12:33 PM
"Task 5.3: Validate with kubectl get pods, get svc",CPB-38,10357,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:42 AM,15/Sep/25 12:33 PM,,15/Sep/25 12:33 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@494ac889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000y7:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35424372,10293,CPB-5,Epic 5: Kubernetes (EKS) Deployment,Done,15/Sep/25 12:33 PM
Task 6.1: Install Prometheus & Node Exporter,CPB-39,10359,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:43 AM,15/Sep/25 12:36 PM,,15/Sep/25 12:36 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58ac107c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000yf:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35583626,10294,CPB-6,Epic 6: Monitoring & Observability,Done,15/Sep/25 12:36 PM
Task 6.2: Configure Grafana Dashboards,CPB-40,10361,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:44 AM,15/Sep/25 12:39 PM,,15/Sep/25 12:39 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@574beccd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000yn:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10061_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35542774,10294,CPB-6,Epic 6: Monitoring & Observability,Done,15/Sep/25 12:39 PM
Task 6.3: Integrate Jenkins Metrics,CPB-41,10363,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:45 AM,15/Sep/25 12:39 PM,,15/Sep/25 12:39 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@23a6d83e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000yv:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_35651334,10294,CPB-6,Epic 6: Monitoring & Observability,Done,15/Sep/25 12:39 PM
Task 7.1: Collect Reports & Screenshots,CPB-42,10365,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:46 AM,15/Sep/25 1:42 PM,,15/Sep/25 1:42 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40b4cd07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000z3:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_39380076,10295,CPB-7,Epic 7: Final Deliverables,Done,15/Sep/25 1:42 PM
Task 7.2: Prepare Word Document,CPB-43,10367,Task,Done,CPB,Capston-Project-BMS,software,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,Medium,Done,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,15/Sep/25 2:47 AM,15/Sep/25 1:42 PM,,15/Sep/25 1:42 PM,,0,,,preeti shinge,712020:5604fb2d-64e5-4859-90b7-e3c5becf712f,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79d3d6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000zb:,,,,,,,,,,,,,,CPB Sprint 1,,,,,,,,,,,,,,,,,,,,,,10062_*:*_1_*:*_0_*|*_10097_*:*_1_*:*_39339579,10295,CPB-7,Epic 7: Final Deliverables,Done,15/Sep/25 1:42 PM
